,camera_id,lat,lat_decimals,long,camera_name,hpweren_camera_description,lat_adjusted,long_adjusted,code,dir,c_lat,c_long
80,hpwren25_east,33.13,2,-116.61,vo-e-mobo-c,Santa Ysabel,33.138256,-116.617058,vo,e,,
81,hpwren25_south,33.13,2,-116.61,vo-s-mobo-c,Santa Ysabel,33.138256,-116.617058,vo,s,,
82,hpwren25_west,33.13,2,-116.61,vo-w-mobo-c,Santa Ysabel,33.138256,-116.617058,vo,w,,
83,hpwren26_north,33.6052,4,-117.8109,signal-n-mobo-c,Signal Peak,33.6052,-117.8109,signal,n,,
84,hpwren26_east,33.6052,4,-117.8109,signal-e-mobo-c,Signal Peak,33.6052,-117.8109,signal,e,,
85,hpwren26_south,33.6052,4,-117.8109,signal-s-mobo-c,Signal Peak,33.6052,-117.8109,signal,s,,
86,hpwren26_west,33.6052,4,-117.8109,signal-w-mobo-c,Signal Peak,33.6052,-117.8109,signal,w,,
87,hpwren27_north,33.3787,4,-116.6223,sojr-n-mobo-c,Sky Oaks,33.3787,-116.6223,sojr,n,,
88,hpwren27_east,33.3787,4,-116.6223,sojr-e-mobo-c,Sky Oaks,33.3787,-116.6223,sojr,e,,
89,hpwren27_south,33.3787,4,-116.6223,sojr-s-mobo-c,Sky Oaks,33.3787,-116.6223,sojr,s,,
90,hpwren27_west,33.3787,4,-116.6223,sojr-w-mobo-c,Sky Oaks,33.3787,-116.6223,sojr,w,,
91,hpwren28_north,33.5235,4,-116.4257,tp-n-mobo-c,Toro Peak,33.5235,-116.4257,tp,n,,
92,hpwren28_east,33.5235,4,-116.4257,tp-e-mobo-c,Toro Peak,33.5235,-116.4257,tp,e,,
93,hpwren28_south,33.5235,4,-116.4257,tp-s-mobo-c,Toro Peak,33.5235,-116.4257,tp,s,,
94,hpwren28_west,33.5235,4,-116.4257,tp-w-mobo-c,Toro Peak,33.5235,-116.4257,tp,w,,
95,hpwren29_north,33.6124,4,-117.5486,starr-n-mobo-c,Upper Bell,33.6124,-117.5486,starr,n,,
96,hpwren29_east,33.6124,4,-117.5486,starr-e-mobo-c,Upper Bell,33.6124,-117.5486,starr,e,,
97,hpwren29_south,33.6124,4,-117.5486,starr-s-mobo-c,Upper Bell,33.6124,-117.5486,starr,s,,
98,hpwren29_west,33.6124,4,-117.5486,starr-w-mobo-c,Upper Bell,33.6124,-117.5486,starr,w,,
99,hpwren30_north,33.5191,4,-117.481,marconi-n-mobo-c,Upper Talega,33.5191,-117.481,marconi,n,,
100,hpwren30_east,33.5191,4,-117.481,marconi-e-mobo-c,Upper Talega,33.5191,-117.481,marconi,e,,
101,hpwren30_south,33.5191,4,-117.481,marconi-s-mobo-c,Upper Talega,33.5191,-117.481,marconi,s,,
102,hpwren30_west,33.5191,4,-117.481,marconi-w-mobo-c,Upper Talega,33.5191,-117.481,marconi,w,,
1135,hpwren14_south,32.8922,4,-116.4209,lo-s-mobo-c,Mt. Laguna,32.8922,-116.4209,lo,s,,
1136,hpwren14_west,32.8922,4,-116.4209,lo-w-mobo-c,Mt. Laguna,32.8922,-116.4209,lo,w,,
1144,hpwren19_east,33.0087,4,-116.9709,mw-e-mobo-c,Mt. Woodson,33.0087,-116.9709,mw,e,,
1151,hpwren27_north,33.3787,4,-116.6223,so-n-mobo-c,Sky Oaks,33.3787,-116.6223,so,n,,
1152,hpwren27_south,33.3787,4,-116.6223,so-s-mobo-c,Sky Oaks,33.3787,-116.6223,so,s,,
1153,hpwren27_west,33.3787,4,-116.6223,so-w-mobo-c,Sky Oaks,33.3787,-116.6223,so,w,,
