camera_id,direction,camera_name,image_id,long,lat,elevation,geometry.type,geometry.coordinates,x_resolution,y_resolution,center_lat,center_long,properties.description.url
hpwren11_north,north,Los Pinos,pi-n-mobo-c,-116.5776585,32.73451582,4800.0,Point,"[-116.58, 32.73, 4800]",3072.0,2048.0,32.73496385,-116.5776905,http://hpwren.ucsd.edu/cameras/LosPinos.html
hpwren11_east,east,Los Pinos,pi-e-mobo-c,-116.5776585,32.73451582,4800.0,Point,"[-116.58, 32.73, 4800]",3072.0,2048.0,32.7345954,-116.5755122,http://hpwren.ucsd.edu/cameras/LosPinos.html
hpwren11_south,south,Los Pinos,pi-s-mobo-c,-116.5776585,32.73451582,4800.0,Point,"[-116.58, 32.73, 4800]",3072.0,2048.0,32.73237726,-116.5775055,http://hpwren.ucsd.edu/cameras/LosPinos.html
hpwren11_west,west,Los Pinos,pi-w-mobo-c,-116.5776585,32.73451582,4800.0,Point,"[-116.58, 32.73, 4800]",3072.0,2048.0,32.73446656,-116.5809434,http://hpwren.ucsd.edu/cameras/LosPinos.html
hpwren12_north,north,Lyons Peak,lp-n-mobo-c,-116.7645606,32.70151745,3700.0,Point,"[-116.7646, 32.7015, 3700]",3072.0,2048.0,32.70274532,-116.7645596,http://hpwren.ucsd.edu/cameras/LP.html
hpwren12_east,east,Lyons Peak,lp-e-mobo-c,-116.7645606,32.70151745,3700.0,Point,"[-116.7646, 32.7015, 3700]",3072.0,2048.0,32.70151604,-116.754257,http://hpwren.ucsd.edu/cameras/LP.html
hpwren12_south,south,Lyons Peak,lp-s-mobo-c,-116.7645606,32.70151745,3700.0,Point,"[-116.7646, 32.7015, 3700]",3072.0,2048.0,32.69084469,-116.7645718,http://hpwren.ucsd.edu/cameras/LP.html
hpwren12_west,west,Lyons Peak,lp-w-mobo-c,-116.7645606,32.70151745,3700.0,Point,"[-116.7646, 32.7015, 3700]",3072.0,2048.0,32.70141466,-116.8132546,http://hpwren.ucsd.edu/cameras/LP.html
hpwren13_north,north,Mesa Grande,mg-n-mobo-c,-116.7606591,33.18885764,4280.0,Point,"[-116.761, 33.188, 4280]",3072.0,2048.0,33.22111909,-116.7611976,http://hpwren.ucsd.edu/cameras/MG.html
hpwren13_east,east,Mesa Grande,mg-e-mobo-c,-116.7606591,33.18885764,4280.0,Point,"[-116.761, 33.188, 4280]",3072.0,2048.0,33.18869557,-116.7469994,http://hpwren.ucsd.edu/cameras/MG.html
hpwren13_south,south,Mesa Grande,mg-s-mobo-c,-116.7606591,33.18885764,4280.0,Point,"[-116.761, 33.188, 4280]",3072.0,2048.0,33.16766299,-116.7608921,http://hpwren.ucsd.edu/cameras/MG.html
hpwren13_west,west,Mesa Grande,mg-w-mobo-c,-116.7606591,33.18885764,4280.0,Point,"[-116.761, 33.188, 4280]",3072.0,2048.0,33.18950737,-116.7939862,http://hpwren.ucsd.edu/cameras/MG.html
hpwren14_north,north,Mt. Laguna,ml-n-mobo-c,-116.420721,32.892296,6300.0,Point,"[-116.4209, 32.8922, 6300]",2048.0,1536.0,32.97931,-116.433837,http://hpwren.ucsd.edu/cameras/MtLaguna.html
hpwren14_east,east,Mt. Laguna,ml-e-mobo-c,-116.420721,32.892296,6300.0,Point,"[-116.4209, 32.8922, 6300]",2048.0,1536.0,32.89248153,-116.4178248,http://hpwren.ucsd.edu/cameras/MtLaguna.html
hpwren14_south,south,Mt. Laguna,ml-s-mobo-c,-116.420721,32.892296,6300.0,Point,"[-116.4209, 32.8922, 6300]",2048.0,1536.0,32.8913446,-116.4206457,http://hpwren.ucsd.edu/cameras/MtLaguna.html
hpwren14_west,west,Mt. Laguna,ml-w-mobo-c,-116.420721,32.892296,6300.0,Point,"[-116.4209, 32.8922, 6300]",2048.0,1536.0,32.89039892,-116.4305431,http://hpwren.ucsd.edu/cameras/MtLaguna.html
hpwren15_north,north,Mt. Laguna Observatory,mlo-n-mobo-c,-116.4265161,32.83967399,6180.0,Point,"[-116.4265, 32.8397, 6180]",3072.0,2048.0,32.84250673,-116.4266465,http://hpwren.ucsd.edu/cameras/MLO.html
hpwren15_east,east,Mt. Laguna Observatory,mlo-e-mobo-c,-116.4265161,32.83967399,6180.0,Point,"[-116.4265, 32.8397, 6180]",3072.0,2048.0,32.83965734,-116.4261181,http://hpwren.ucsd.edu/cameras/MLO.html
hpwren15_south,south,Mt. Laguna Observatory,mlo-s-mobo-c,-116.4265161,32.83967399,6180.0,Point,"[-116.4265, 32.8397, 6180]",3072.0,2048.0,32.83663733,-116.4264453,http://hpwren.ucsd.edu/cameras/MLO.html
hpwren15_west,west,Mt. Laguna Observatory,mlo-w-mobo-c,-116.4265161,32.83967399,6180.0,Point,"[-116.4265, 32.8397, 6180]",3072.0,2048.0,32.8395472,-116.4293802,http://hpwren.ucsd.edu/cameras/MLO.html
hpwren16_north,north,Mt. San Miguel,sm-n-mobo-c,-116.936262,32.69688501,2550.0,Point,"[-116.94, 32.7, 2550]",3072.0,2048.0,32.73789307,-116.9387885,http://hpwren.ucsd.edu/cameras/SM.html
hpwren16_east,east,Mt. San Miguel,sm-e-mobo-c,-116.936262,32.69688501,2550.0,Point,"[-116.94, 32.7, 2550]",3072.0,2048.0,32.69835888,-116.9061565,http://hpwren.ucsd.edu/cameras/SM.html
hpwren16_south,south,Mt. San Miguel,sm-s-mobo-c,-116.936262,32.69688501,2550.0,Point,"[-116.94, 32.7, 2550]",3072.0,2048.0,32.61370029,-116.933834,http://hpwren.ucsd.edu/cameras/SM.html
