camera_id,image_id,stid,shortname,distance_m,distance_mi,is_in_direction,rn
hpwren12_south,lp-s-mobo-c,DZRSD,SDGE,9610.638236567598,5.971773739217717,True,3
hpwren12_west,lp-w-mobo-c,HP002,HPWREN,4.174014965430971,0.002593612655486317,True,1
hpwren12_west,lp-w-mobo-c,LSVSD,SDGE,6720.895549941108,4.176170880769498,True,2
hpwren12_west,lp-w-mobo-c,JAMSD,SDGE,9982.85812017193,6.203060452067382,True,3
hpwren13_north,mg-n-mobo-c,MGYSD,SDGE,6852.450106240537,4.257915092261528,True,1
hpwren13_north,mg-n-mobo-c,WARSD,SDGE,8820.070787945657,5.4805379011234745,True,2
hpwren13_north,mg-n-mobo-c,EWNSD,SDGE,13705.54564166361,8.516231235623714,True,3
hpwren13_east,mg-e-mobo-c,MGDSD,SDGE,2359.1064225666382,1.4658807704049837,True,1
hpwren13_east,mg-e-mobo-c,MGYSD,SDGE,6852.450106240537,4.257915092261528,True,2
hpwren13_east,mg-e-mobo-c,WARSD,SDGE,8820.070787945657,5.4805379011234745,True,3
hpwren13_south,mg-s-mobo-c,HP004,HPWREN,100.2223195978469,0.06227526221730525,True,1
hpwren13_south,mg-s-mobo-c,MGDSD,SDGE,2359.1064225666382,1.4658807704049837,True,2
hpwren13_south,mg-s-mobo-c,HP016,HPWREN,5468.9329106246505,3.398237362940832,True,3
hpwren13_west,mg-w-mobo-c,HP004,HPWREN,100.2223195978469,0.06227526221730525,True,1
hpwren13_west,mg-w-mobo-c,HP016,HPWREN,5468.9329106246505,3.398237362940832,True,2
hpwren13_west,mg-w-mobo-c,POVSD,SDGE,9587.316604302385,5.957282348772161,True,3
hpwren14_north,ml-n-mobo-c,LFRSD,SDGE,11017.190453917301,6.845764767456368,True,1
hpwren14_north,ml-n-mobo-c,SHVSD,SDGE,18847.336084999784,11.711191693634042,True,2
hpwren14_north,ml-n-mobo-c,LCMSD,SDGE,20055.717959761158,12.462045379832501,True,3
hpwren14_east,ml-e-mobo-c,LPTSD,SDGE,20070.548852715252,12.471260869469331,True,1
hpwren14_east,ml-e-mobo-c,CWDSD,SDGE,21771.27147140862,13.52804091071183,True,2
hpwren14_east,ml-e-mobo-c,TDSSD,SDGE,28297.631508342653,17.58333302783162,True,3
hpwren14_south,ml-s-mobo-c,HP001,HPWREN,19.85614929232577,0.01233803915901496,True,1
hpwren14_south,ml-s-mobo-c,MLGSD,SDGE,1585.523601959089,0.9851986908697513,True,2
hpwren14_south,ml-s-mobo-c,HP019,HPWREN,5850.8775902750585,3.6355667839039127,True,3
hpwren14_west,ml-w-mobo-c,HP001,HPWREN,19.85614929232577,0.01233803915901496,True,1
hpwren14_west,ml-w-mobo-c,MLGSD,SDGE,1585.523601959089,0.9851986908697513,True,2
hpwren14_west,ml-w-mobo-c,HP019,HPWREN,5850.8775902750585,3.6355667839039127,True,3
hpwren15_north,mlo-n-mobo-c,HP019,HPWREN,3.252264701096989,0.002020863594792033,True,1
hpwren15_north,mlo-n-mobo-c,MLGSD,SDGE,4286.126280918088,2.6632753972538423,True,2
hpwren15_north,mlo-n-mobo-c,LAGSD,SDGE,4330.204643218831,2.690664421788524,True,3
hpwren15_east,mlo-e-mobo-c,HP019,HPWREN,3.252264701096989,0.002020863594792033,True,1
hpwren15_east,mlo-e-mobo-c,MLGSD,SDGE,4286.126280918088,2.6632753972538423,True,2
hpwren15_east,mlo-e-mobo-c,HP001,HPWREN,5841.763004957731,3.629903243158536,True,3
hpwren15_south,mlo-s-mobo-c,SRHSD,SDGE,8409.982850621296,5.225721070586087,True,1
hpwren15_south,mlo-s-mobo-c,PIVSD,SDGE,9180.66074271412,5.704598111226761,True,2
hpwren15_south,mlo-s-mobo-c,BMSSD,SDGE,10402.132566238133,6.463585514494187,True,3
hpwren15_west,mlo-w-mobo-c,LAGSD,SDGE,4330.204643218831,2.690664421788524,True,1
hpwren15_west,mlo-w-mobo-c,SRHSD,SDGE,8409.982850621296,5.225721070586087,True,2
hpwren15_west,mlo-w-mobo-c,PIVSD,SDGE,9180.66074271412,5.704598111226761,True,3
hpwren16_north,sm-n-mobo-c,OTYSD,SDGE,2702.6686289744425,1.6793604282082901,True,1
hpwren16_north,sm-n-mobo-c,JAMSD,SDGE,6512.937717020501,4.046951874192528,True,2
hpwren16_north,sm-n-mobo-c,LSVSD,SDGE,11434.33001375552,7.104963273082398,True,3
hpwren16_east,sm-e-mobo-c,OTYSD,SDGE,2702.6686289744425,1.6793604282082901,True,1
hpwren16_east,sm-e-mobo-c,JAMSD,SDGE,6512.937717020501,4.046951874192528,True,2
hpwren16_east,sm-e-mobo-c,LSVSD,SDGE,11434.33001375552,7.104963273082398,True,3
hpwren16_south,sm-s-mobo-c,MIGSD,SDGE,4402.178226896177,2.73538673328771,True,1
hpwren16_south,sm-s-mobo-c,OTMSD,SDGE,13891.099155526666,8.631528843756627,True,2
hpwren16_south,sm-s-mobo-c,CVXSD,SDGE,15563.301659254368,9.670587307160165,True,3
hpwren16_west,sm-w-mobo-c,MIGSD,SDGE,4402.178226896177,2.73538673328771,True,1
hpwren16_west,sm-w-mobo-c,ECJSD,SDGE,11442.006398633272,7.10973315750596,True,2
hpwren16_west,sm-w-mobo-c,CHOSD,SDGE,12981.454777711513,8.066302032201637,True,3
hpwren17_north,ms-n-mobo-c,LJHSD,SDGE,959.9797227320965,0.5965037448377081,True,1
hpwren17_north,ms-n-mobo-c,MPESD,SDGE,12215.64935233804,7.590452602015504,True,2
hpwren17_north,ms-n-mobo-c,DMHSD,SDGE,13958.512681611153,8.673417666832668,True,3
hpwren19_north,wc-n-mobo-c-deg,BLUSD,SDGE,3263.4913672981793,2.027839521754317,True,1
hpwren19_north,wc-n-mobo-c-deg,ARHSD,SDGE,3658.912217064413,2.2735426466090614,True,2
hpwren19_north,wc-n-mobo-c-deg,HVYSD,SDGE,3984.2155048103396,2.475676738354472,True,3
hpwren19_east,wc-e-mobo-c-deg,HP005,HPWREN,8.542921838880668,0.005308325528215638,True,1
hpwren19_east,wc-e-mobo-c-deg,ARHSD,SDGE,3658.912217064413,2.2735426466090614,True,2
hpwren19_east,wc-e-mobo-c-deg,HVYSD,SDGE,3984.2155048103396,2.475676738354472,True,3
hpwren19_south,wc-s-mobo-c-deg,HP005,HPWREN,8.542921838880668,0.005308325528215638,True,1
hpwren19_south,wc-s-mobo-c-deg,HVLSD,SDGE,2397.91198430594,1.4899934285683734,True,2
hpwren19_south,wc-s-mobo-c-deg,IMTSD,SDGE,3606.1658026394152,2.2407675441915558,True,3
hpwren19_west,wc-w-mobo-c-deg,HVLSD,SDGE,2397.91198430594,1.4899934285683734,True,1
hpwren19_west,wc-w-mobo-c-deg,BLUSD,SDGE,3263.4913672981793,2.027839521754317,True,2
hpwren19_west,wc-w-mobo-c-deg,IMTSD,SDGE,3606.1658026394152,2.2407675441915558,True,3
hpwren20_north,om-n-mobo-c,OTMSD,SDGE,512.2211872153736,0.3182794897892393,True,1
hpwren20_north,om-n-mobo-c,DZRSD,SDGE,8443.742626428848,5.246698422729291,True,2
hpwren20_north,om-n-mobo-c,DHVSD,SDGE,12817.293954713386,7.96429722589663,True,3
hpwren20_east,om-e-mobo-c,OTMSD,SDGE,512.2211872153736,0.3182794897892393,True,1
hpwren20_east,om-e-mobo-c,DZRSD,SDGE,8443.742626428848,5.246698422729291,True,2
hpwren20_east,om-e-mobo-c,DHVSD,SDGE,12817.293954713386,7.96429722589663,True,3
hpwren20_south,om-s-mobo-c,OMBSD,SDGE,6629.1380949928935,4.119155441591663,True,1
hpwren20_south,om-s-mobo-c,BFDSD,SDGE,24415.989582012007,15.171392556229126,True,2
hpwren20_south,om-s-mobo-c,PCTSD,SDGE,35523.175166016765,22.07307770496349,True,3
hpwren20_west,om-w-mobo-c,OMBSD,SDGE,6629.1380949928935,4.119155441591663,True,1
hpwren20_west,om-w-mobo-c,JAMSD,SDGE,13403.718905827449,8.328684796928096,True,2
hpwren20_west,om-w-mobo-c,OTYSD,SDGE,15937.439678748524,9.903065894394564,True,3
hpwren21_north,rm-n-mobo-c,HP007,HPWREN,0.0,0.0,True,1
hpwren21_north,rm-n-mobo-c,RBVSD,SDGE,1893.2793444541062,1.176429243501766,True,2
hpwren21_north,rm-n-mobo-c,SE073,SC-EDISON,2373.0688893803494,1.4745566450555936,True,3
hpwren21_east,rm-e-mobo-c,HP007,HPWREN,0.0,0.0,True,1
hpwren21_east,rm-e-mobo-c,RBVSD,SDGE,1893.2793444541062,1.176429243501766,True,2
hpwren21_east,rm-e-mobo-c,SE073,SC-EDISON,2373.0688893803494,1.4745566450555936,True,3
hpwren21_south,rm-s-mobo-c,HP007,HPWREN,0.0,0.0,True,1
hpwren21_south,rm-s-mobo-c,FBKSD,SDGE,5547.048428069425,3.446776095147728,True,2
hpwren21_south,rm-s-mobo-c,AVOSD,SDGE,6041.3588778325575,3.7539263686524182,True,3
hpwren21_west,rm-w-mobo-c,HP007,HPWREN,0.0,0.0,True,1
hpwren21_west,rm-w-mobo-c,AVOSD,SDGE,6041.3588778325575,3.7539263686524182,True,2
hpwren21_west,rm-w-mobo-c,AMOSD,SDGE,9359.451547220087,5.815693566583706,True,3
hpwren22_north,sclm-n-mobo-c,SCRSD,SDGE,874.7827736424565,0.543564815006895,True,1
hpwren22_north,sclm-n-mobo-c,CRISD,SDGE,6429.315160229842,3.994991226381583,True,2
hpwren22_north,sclm-n-mobo-c,TLGSD,SDGE,11666.531494243558,7.249246583852525,True,3
hpwren22_east,sclm-e-mobo-c,SCRSD,SDGE,874.7827736424565,0.543564815006895,True,1
hpwren22_east,sclm-e-mobo-c,CRISD,SDGE,6429.315160229842,3.994991226381583,True,2
hpwren22_east,sclm-e-mobo-c,SE816,SC-EDISON,8194.489117288209,5.091819472585232,True,3
hpwren22_south,sclm-s-mobo-c,HP020,HPWREN,5.8441751155470865,0.003631402059191252,True,1
hpwren22_south,sclm-s-mobo-c,SE816,SC-EDISON,8194.489117288209,5.091819472585232,True,2
hpwren22_south,sclm-s-mobo-c,AMOSD,SDGE,30978.50877400721,19.24915293063957,True,3
hpwren22_west,sclm-w-mobo-c,HP020,HPWREN,5.8441751155470865,0.003631402059191252,True,1
hpwren22_west,sclm-w-mobo-c,SE024,SC-EDISON,18519.342415778734,11.50738587634386,True,2
hpwren22_west,sclm-w-mobo-c,SE018,SC-EDISON,19350.903246723137,12.024093821285652,True,3
hpwren23_east,sdsc-e-mobo-c,LJHSD,SDGE,4451.089750697281,2.7657789451461468,True,1
hpwren23_east,sdsc-e-mobo-c,DMHSD,SDGE,8958.23470837691,5.566388981086026,True,2
hpwren23_east,sdsc-e-mobo-c,TCNSD,SDGE,11575.099184266219,7.192433180392892,True,3
hpwren24_north,sjh-n-mobo-c,CAPSD,SDGE,7964.876308256595,4.949144687684295,True,1
hpwren24_north,sjh-n-mobo-c,ORTSD,SDGE,11108.086092358048,6.902244698683468,True,2
hpwren24_north,sjh-n-mobo-c,HP024,HPWREN,11492.10725095444,7.14086438384487,True,3
hpwren24_east,sjh-e-mobo-c,CRISD,SDGE,5837.971541041035,3.627547336704294,True,1
hpwren24_east,sjh-e-mobo-c,SCRSD,SDGE,7498.10994922433,4.6591095186761375,True,2
hpwren24_east,sjh-e-mobo-c,HP020,HPWREN,7948.439614402033,4.938931399627446,True,3
hpwren24_south,sjh-s-mobo-c,CRISD,SDGE,5837.971541041035,3.627547336704294,True,1
hpwren24_south,sjh-s-mobo-c,SCRSD,SDGE,7498.10994922433,4.6591095186761375,True,2
hpwren24_south,sjh-s-mobo-c,HP020,HPWREN,7948.439614402033,4.938931399627446,True,3
hpwren24_west,sjh-w-mobo-c,SE024,SC-EDISON,14471.181502953223,8.991975303572898,True,1
hpwren24_west,sjh-w-mobo-c,SE018,SC-EDISON,15366.362420804478,9.548214937766243,True,2
hpwren24_west,sjh-w-mobo-c,SE014,SC-EDISON,16257.675759173544,10.102051369485668,True,3
hpwren25_north,vo-n-mobo-c,SHCSD,SDGE,2399.7623288686914,1.4911431793753798,True,1
hpwren25_north,vo-n-mobo-c,EWNSD,SDGE,9781.31877106582,6.077829706430583,True,2
hpwren25_north,vo-n-mobo-c,MGYSD,SDGE,12173.837361297807,7.564471835293018,True,3
hpwren25_east,vo-e-mobo-c,HP009,HPWREN,1130.3284592261653,0.702353542329151,True,1
hpwren25_east,vo-e-mobo-c,WYNSD,SDGE,3969.2003797265934,2.466346772179592,True,2
hpwren25_east,vo-e-mobo-c,VCMSD,SDGE,5386.792265997118,3.347197532657479,True,3
hpwren25_south,vo-s-mobo-c,HP009,HPWREN,1130.3284592261653,0.702353542329151,True,1
hpwren25_south,vo-s-mobo-c,WYNSD,SDGE,3969.2003797265934,2.466346772179592,True,2
hpwren25_south,vo-s-mobo-c,WWYSD,SDGE,4969.9197974827575,3.08816498988579,True,3
hpwren25_west,vo-w-mobo-c,SHCSD,SDGE,2399.7623288686914,1.4911431793753798,True,1
hpwren25_west,vo-w-mobo-c,WWYSD,SDGE,4969.9197974827575,3.08816498988579,True,2
hpwren25_west,vo-w-mobo-c,YSASD,SDGE,5807.492271817947,3.608608396848621,True,3
hpwren26_north,signal-n-mobo-c,SE864,SC-EDISON,412.100601772385,0.25606744224502964,True,1
hpwren26_north,signal-n-mobo-c,SE433,SC-EDISON,12589.297155266207,7.82262658279784,True,2
hpwren26_north,signal-n-mobo-c,SE626,SC-EDISON,13088.79906454843,8.133002679693359,True,3
hpwren26_east,signal-e-mobo-c,SE864,SC-EDISON,412.100601772385,0.25606744224502964,True,1
hpwren26_east,signal-e-mobo-c,SE704,SC-EDISON,6060.093363604553,3.7655674384125164,True,2
hpwren26_east,signal-e-mobo-c,SE878,SC-EDISON,6438.628614668585,4.000778338670033,True,3
hpwren26_south,signal-s-mobo-c,HP022,HPWREN,4.076554778690511,0.002533053703055724,True,1
hpwren26_south,signal-s-mobo-c,SE803,SC-EDISON,4371.024519219719,2.7160287168061763,True,2
hpwren26_south,signal-s-mobo-c,SE704,SC-EDISON,6060.093363604553,3.7655674384125164,True,3
hpwren26_west,signal-w-mobo-c,HP022,HPWREN,4.076554778690511,0.002533053703055724,True,1
hpwren26_west,signal-w-mobo-c,SE803,SC-EDISON,4371.024519219719,2.7160287168061763,True,2
hpwren26_west,signal-w-mobo-c,SE874,SC-EDISON,33945.72065245206,21.092892913169624,True,3
hpwren27_north,sojr-n-mobo-c,HP010,HPWREN,4.919543515574645,0.0030568626195360627,True,1
hpwren27_north,sojr-n-mobo-c,CHHSD,SDGE,3679.294209446063,2.2862074295154193,True,2
hpwren27_north,sojr-n-mobo-c,OGVSD,SDGE,15517.510977216138,9.642134296468708,True,3
hpwren27_east,sojr-e-mobo-c,COYSD,SDGE,13782.878743795116,8.564283797494578,True,1
hpwren27_east,sojr-e-mobo-c,EWNSD,SDGE,16866.216546494885,10.480181084028576,True,2
hpwren27_east,sojr-e-mobo-c,RCHSD,SDGE,21433.49629440409,13.318157146268348,True,3
hpwren27_south,sojr-s-mobo-c,SSSSD,SDGE,10890.840614667604,6.767254617202788,True,1
hpwren27_south,sojr-s-mobo-c,COYSD,SDGE,13782.878743795116,8.564283797494578,True,2
hpwren27_south,sojr-s-mobo-c,WARSD,SDGE,16087.031428182825,9.996017898089423,True,3
hpwren27_west,sojr-w-mobo-c,HP010,HPWREN,4.919543515574645,0.0030568626195360627,True,1
hpwren27_west,sojr-w-mobo-c,CHHSD,SDGE,3679.294209446063,2.2862074295154193,True,2
