,Unnamed: 0,Unnamed: 0.1,camera_id,camera_name,hpweren_camera_description,cam_lat,cam_long,station,dir,center_lat,center_long,elevation,x_resolution,y_resolution,cl_angle,center_angle
51,51,51,hpwren13_west,mg-w-mobo-c,Mesa Grande,33.18885764,-116.7606591,mg,w,33.18950737,-116.7939862,4280,3072,2048,-0.0194930762984899,-0.019493076298489963
52,52,52,hpwren14_north,ml-n-mobo-c,Mt. Laguna,32.892296,-116.420721,ml,n,32.97931,-116.433837,6300,2048,1536,0.1496080750947077,0.14960807509470772
53,53,53,hpwren14_east,ml-e-mobo-c,Mt. Laguna,32.892296,-116.420721,ml,e,32.89248153,-116.4178248,6300,2048,1536,0.063972391108389,0.06397239110838909
54,54,54,hpwren14_south,ml-s-mobo-c,Mt. Laguna,32.892296,-116.420721,ml,s,32.8913446,-116.4206457,6300,2048,1536,0.0789818768286754,0.07898187682867545
55,55,55,hpwren14_west,ml-w-mobo-c,Mt. Laguna,32.892296,-116.420721,ml,w,32.89039892,-116.4305431,6300,2048,1536,0.190794676024558,0.190794676024558
56,56,56,hpwren15_north,mlo-n-mobo-c,Mt. Laguna Observatory,32.83967399,-116.4265161,mlo,n,32.84250673,-116.4266465,6180,3072,2048,0.0460006950088843,0.046000695008884325
57,57,57,hpwren15_east,mlo-e-mobo-c,Mt. Laguna Observatory,32.83967399,-116.4265161,mlo,e,32.83965734,-116.4261181,6180,3072,2048,-0.0418097918152313,-0.04180979181523137
58,58,58,hpwren15_south,mlo-s-mobo-c,Mt. Laguna Observatory,32.83967399,-116.4265161,mlo,s,32.83663733,-116.4264453,6180,3072,2048,0.0233108663404526,0.02331086634045268
59,59,59,hpwren15_west,mlo-w-mobo-c,Mt. Laguna Observatory,32.83967399,-116.4265161,mlo,w,32.8395472,-116.4293802,6180,3072,2048,0.0442398215936701,0.04423982159367018
60,60,60,hpwren16_north,sm-n-mobo-c,Mt. San Miguel,32.69688501,-116.936262,sm,n,32.73789307,-116.9387885,2550,3072,2048,0.0615320643719568,0.06153206437195683
61,61,61,hpwren16_east,sm-e-mobo-c,Mt. San Miguel,32.69688501,-116.936262,sm,e,32.69835888,-116.9061565,2550,3072,2048,0.048917778494509,0.04891777849450907
62,62,62,hpwren16_south,sm-s-mobo-c,Mt. San Miguel,32.69688501,-116.936262,sm,s,32.61370029,-116.933834,2550,3072,2048,0.0291797681933409,0.029179768193340904
63,63,63,hpwren16_west,sm-w-mobo-c,Mt. San Miguel,32.69688501,-116.936262,sm,w,32.69764572,-116.9976528,2550,3072,2048,-0.012390636211544,-0.01239063621154403
64,64,64,hpwren17_north,ms-n-mobo-c,Mt. Soledad,32.83992291,-117.2485966,ms,n,32.85520812,-117.2485092,730,2048,1536,-0.0057178833333277,-0.005717883333327726
65,65,65,hpwren18_north,wilson-n-mobo-c.html,Mt. Wilson Observatory,34.22449951,-118.0586478,wilson,n,34.22632707,-118.0587202,5700,3072,2048,0.0395949576197175,0.0395949576197175
66,66,66,hpwren18_east,wilson-e-mobo-c.html,Mt. Wilson Observatory,34.22449951,-118.0586478,wilson,e,34.22459585,-118.0564518,5700,3072,2048,0.0438425613823067,0.043842561382306744
67,67,67,hpwren18_south,wilson-s-mobo-c.html,Mt. Wilson Observatory,34.22449951,-118.0586478,wilson,s,34.22338887,-118.0588145,5700,3072,2048,-0.1489815255178657,-0.1489815255178657
68,68,68,hpwren18_west,wilson-w-mobo-c.html,Mt. Wilson Observatory,34.22449951,-118.0586478,wilson,w,34.22465731,-118.0648176,5700,3072,2048,-0.0255706190869057,-0.025570619086905787
69,69,69,hpwren19_north,wc-n-mobo-c-deg,Mt. Woodson,33.00873795,-116.9709795,wc,n,33.01771275,-116.9695941,2800,3072,2048,-0.1531566824752007,-0.1531566824752007
70,70,70,hpwren19_east,wc-e-mobo-c-deg,Mt. Woodson,33.00873795,-116.9709795,wc,e,33.00711327,-116.9584223,2800,3072,2048,-0.1286675674119946,-0.1286675674119946
71,71,71,hpwren19_south,wc-s-mobo-c-deg,Mt. Woodson,33.00873795,-116.9709795,wc,s,32.95474176,-116.9944478,2800,3072,2048,-0.4099979889244517,-0.4099979889244517
72,72,72,hpwren19_west,wc-w-mobo-c-deg,Mt. Woodson,33.00873795,-116.9709795,wc,w,33.00904878,-116.9734538,2800,3072,2048,-0.1249687651167426,-0.12496876511674267
73,73,73,hpwren20_north,om-n-mobo-c,Otay Mountain,32.59476209,-116.8446941,om,n,32.60237051,-116.844502,3565,3072,2048,-0.0252429802381552,-0.025242980238155265
74,74,74,hpwren20_east,om-e-mobo-c,Otay Mountain,32.59476209,-116.8446941,om,e,32.59481057,-116.836819,3565,3072,2048,0.0061560345371723,0.006156034537172351
