camera_id,camera_name,hpweren_camera_description,cam_lat,cam_long,station,dir,c_lat,c_long,elevation,x_resolution,y_resolution,certainty,cl_angle
hpwren22_south,sclm-s-mobo-c,San Clemente,33.43141853,-117.5973412,sclm,s,33.43010171,-117.5972947,870,3072,2048,,0.035297677
hpwren22_west,sclm-w-mobo-c,San Clemente,33.43141853,-117.5973412,sclm,w,33.43994077,-117.6351622,870,3072,2048,,-0.221629376
hpwren23_east,sdsc-e-mobo-c,San Diego Supercomputer Center,32.88444531,-117.239762,sdsc,e,32.88279027,-117.2257347,425,2048,1536,,
hpwren24_north,sjh-n-mobo-c,San Juan Hills,33.50294205,-117.6031176,sjh,n,33.50959831,-117.6028375,1177,3072,2048,,-0.042055876
hpwren24_east,sjh-e-mobo-c,San Juan Hills,33.50294205,-117.6031176,sjh,e,33.50292756,-117.5999521,1177,3072,2048,,-0.004577444
hpwren24_south,sjh-s-mobo-c,San Juan Hills,33.50294205,-117.6031176,sjh,s,33.49739448,-117.6028632,1177,3072,2048,,0.045825811
hpwren24_west,sjh-w-mobo-c,San Juan Hills,33.50294205,-117.6031176,sjh,w,33.50309263,-117.6246855,1177,3072,2048,,-0.006981558
hpwren25_north,vo-n-mobo-c,Santa Ysabel,33.13826401,-116.6170953,vo,n,33.16181938,-116.6181518,5500,3072,2048,,0.044821729
hpwren25_east,vo-e-mobo-c,Santa Ysabel,33.13826401,-116.6170953,vo,e,33.13889532,-116.5965816,5500,3072,2048,,0.030765333
hpwren25_south,vo-s-mobo-c,Santa Ysabel,33.13826401,-116.6170953,vo,s,33.00057335,-116.5955148,5500,3072,2048,,0.15546699
hpwren25_west,vo-w-mobo-c,Santa Ysabel,33.13826401,-116.6170953,vo,w,33.13983116,-116.6995747,5500,3072,2048,,
na,syp-n-mobo-c,Santa Ynez Peak,34.52711299,-119.9789239,syp,n,34.60066741,-119.9422602,4300,3072,2048,,
na,syp-e-mobo-c,Santa Ynez Peak,34.52711299,-119.9789239,syp,e,34.5245174,-119.9717901,4300,3072,2048,,
na,syp-s-mobo-c,Santa Ynez Peak,34.52711299,-119.9789239,syp,s,34.52205853,-119.9815327,4300,3072,2048,,
na,syp-w-mobo-c,Santa Ynez Peak,34.52711299,-119.9789239,syp,w,34.53380388,-119.9934231,4300,3072,2048,,
na,stgo-n-mobo-c,Santiago Peak,33.71117247,-117.534115,stgo,n,33.73863279,-117.5394768,5700,3072,2048,,0.19283016
na,stgo-e-mobo-c,Santiago Peak,33.71117247,-117.534115,stgo,e,33.71129005,-117.5318059,5700,3072,2048,,0.05087633
na,stgo-s-mobo-c,Santiago Peak,33.71117247,-117.534115,stgo,s,33.71041572,-117.5340423,5700,3072,2048,,0.095774795
na,stgo-w-mobo-c,Santiago Peak,33.71117247,-117.534115,stgo,w,33.71050284,-117.5545014,5700,3072,2048,,0.032835093
hpwren26_north,signal-n-mobo-c,Signal Peak,33.60523424,-117.810884,signal,n,33.60613199,-117.8109116,1000,3072,2048,unsure,0.030733845
hpwren26_east,signal-e-mobo-c,Signal Peak,33.60523424,-117.810884,signal,e,33.60532268,-117.8085619,1000,3072,2048,,0.038067816
hpwren26_south,signal-s-mobo-c,Signal Peak,33.60523424,-117.810884,signal,s,33.60423073,-117.810847,1000,3072,2048,,0.03685389
hpwren26_west,signal-w-mobo-c,Signal Peak,33.60523424,-117.810884,signal,w,33.60523689,-117.8145783,1000,3072,2048,,-0.000717321
hpwren27_north,sojr-n-mobo-c,Sky Oaks,33.37865603,-116.6222928,sojr,n,33.38598819,-116.6225236,4975,3072,2048,,0.031467373
hpwren27_east,sojr-e-mobo-c,Sky Oaks,33.37865603,-116.6222928,sojr,e,33.37921665,-116.5776249,4975,3072,2048,5,
hpwren27_south,sojr-s-mobo-c,Sky Oaks,33.37865603,-116.6222928,sojr,s,33.37452052,-116.6221394,4975,3072,2048,,0.037076371
hpwren27_west,sojr-w-mobo-c,Sky Oaks,33.37865603,-116.6222928,sojr,w,33.37855199,-116.6258053,4975,3072,2048,,0.029611271
hpwren28_north,tp-n-mobo-c,Toro Peak,33.52353103,-116.4257027,tp,n,33.77724869,-116.4184919,8800,3072,2048,,-0.02841292
hpwren28_east,tp-e-mobo-c,Toro Peak,33.52353103,-116.4257027,tp,e,33.52623974,-116.1473642,8800,3072,2048,unsure,0.009731404
hpwren28_south,tp-s-mobo-c,Toro Peak,33.52353103,-116.4257027,tp,s,33.27637745,-116.3898008,8800,3072,2048,,0.144252528
hpwren28_west,tp-w-mobo-c,Toro Peak,33.52353103,-116.4257027,tp,w,33.50062934,-116.6702284,8800,3072,2048,,0.093385185
hpwren29_north,starr-n-mobo-c,Upper Bell,33.61244314,-117.5486414,starr,n,33.61537688,-117.5489481,1000,3072,2048,,0.104163952
hpwren29_east,starr-e-mobo-c,Upper Bell,33.61244314,-117.5486414,starr,e,33.61412883,-117.5155022,1000,3072,2048,,0.050823145
hpwren29_south,starr-s-mobo-c,Upper Bell,33.61244314,-117.5486414,starr,s,33.59300023,-117.5467179,1000,3072,2048,,0.098609792
hpwren29_west,starr-w-mobo-c,Upper Bell,33.61244314,-117.5486414,starr,w,33.61068023,-117.5713795,1000,3072,2048,,0.077376314
hpwren30_north,marconi-n-mobo-c,Upper Talega,33.51912725,-117.480907,marconi,n,33.5244452,-117.4811579,2300,3072,2048,,0.047144875
hpwren30_east,marconi-e-mobo-c,Upper Talega,33.51912725,-117.480907,marconi,e,33.51918603,-117.4783761,2300,3072,2048,,0.023220765
hpwren30_south,marconi-s-mobo-c,Upper Talega,33.51912725,-117.480907,marconi,s,33.51453296,-117.480751,2300,3072,2048,,0.033942152
hpwren30_west,marconi-w-mobo-c,Upper Talega,33.51912725,-117.480907,marconi,w,33.51797356,-117.5290868,2300,3072,2048,,0.023940937
na,ws-n-mobo-c,White Star,32.647266,-116.318014,ws,n,32.65087451,-116.3179544,4000,3072,2048,,-0.016515011
na,ws-e-mobo-c,White Star,32.647266,-116.318014,ws,e,32.64640538,-116.3059413,4000,3072,2048,,-0.07116607
na,ws-s-mobo-c,White Star,32.647266,-116.318014,ws,s,32.64474228,-116.3179852,4000,3072,2048,,0.01141123
na,ws-w-mobo-c,White Star,32.647266,-116.318014,ws,w,32.64743154,-116.3223024,4000,3072,2048,,-0.038582653
