MNET_SHORTNAME,NWSFIREZONE,ELEV_DEM,TIMEZONE,SGID,SHORTNAME,ELEVATION,STID,WIMS_ID,GACC,MNET_LONGNAME,STATUS,LONGITUDE,COUNTY,STATE,CWA,NWSZONE,ID,MNET_ID,NAME,COUNTRY,RESTRICTED,LATITUDE,PERIOD_OF_RECORD.start,PERIOD_OF_RECORD.end,SENSOR_VARIABLES.wind_speed.wind_speed_1.position,SENSOR_VARIABLES.wind_speed.wind_speed_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.wind_speed.wind_speed_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.air_temp.air_temp_1.position,SENSOR_VARIABLES.air_temp.air_temp_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.air_temp.air_temp_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.solar_radiation.solar_radiation_1.position,SENSOR_VARIABLES.solar_radiation.solar_radiation_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.solar_radiation.solar_radiation_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.wind_gust.wind_gust_1.position,SENSOR_VARIABLES.wind_gust.wind_gust_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.wind_gust.wind_gust_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.volt.volt_1.position,SENSOR_VARIABLES.volt.volt_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.volt.volt_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.wind_direction.wind_direction_1.position,SENSOR_VARIABLES.wind_direction.wind_direction_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.wind_direction.wind_direction_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.relative_humidity.relative_humidity_1.position,SENSOR_VARIABLES.relative_humidity.relative_humidity_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.relative_humidity.relative_humidity_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.pressure.pressure_1.position,SENSOR_VARIABLES.pressure.pressure_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.pressure.pressure_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.altimeter.altimeter_1.position,SENSOR_VARIABLES.altimeter.altimeter_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.altimeter.altimeter_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.precip_accum_ten_minute.precip_accum_ten_minute_1.position,SENSOR_VARIABLES.precip_accum_ten_minute.precip_accum_ten_minute_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.precip_accum_ten_minute.precip_accum_ten_minute_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.fuel_temp.fuel_temp_1.position,SENSOR_VARIABLES.fuel_temp.fuel_temp_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.fuel_temp.fuel_temp_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.precip_accum_one_hour.precip_accum_one_hour_1.position,SENSOR_VARIABLES.precip_accum_one_hour.precip_accum_one_hour_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.precip_accum_one_hour.precip_accum_one_hour_1.PERIOD_OF_RECORD.end
SDGE,SGX250,1086,America/Los_Angeles,SC08,SDGE,1087,RBVSD,,SOCC,San Diego Gas and Electric,ACTIVE,-117.170167,San Diego,CA,SGX,CA050,28771,139,Rainbow Valley,US,False,33.401221,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,2,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-01-02T00:00:00Z,2013-03-14T19:10:00Z,6.1,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,,2019-09-12T14:23:00Z,2022-04-28T21:30:00Z,6.1,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,2,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,2,2010-01-02T00:00:00Z,2013-03-01T22:20:00Z,2,2010-01-02T00:00:00Z,2013-03-14T19:10:00Z,,,,,,,,,
SDGE,SGX250,1023.6,America/Los_Angeles,SC08,SDGE,1017,KCKSD,,SOCC,San Diego Gas and Electric,ACTIVE,-117.08583,San Diego,CA,SGX,CA050,28772,139,Keyes Creek,US,False,33.31311,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,2,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,,,,6.1,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,,2019-09-12T14:23:00Z,2022-04-28T21:30:00Z,6.1,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,2,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,,,,,,,,,,,,,,,
SDGE,SGX250,1423.9,America/Los_Angeles,SC08,SDGE,1423,HIDSD,,SOCC,San Diego Gas and Electric,ACTIVE,-117.04609,San Diego,CA,SGX,CA050,28773,139,Hideaway Lake,US,False,33.24001,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,2,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-01-02T00:00:00Z,2013-03-01T22:20:00Z,6.1,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,,2019-10-09T00:03:00Z,2022-04-28T21:30:00Z,6.1,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,2,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,2,2010-01-02T00:00:00Z,2013-03-01T22:20:00Z,2,2010-01-02T00:00:00Z,2013-03-14T19:10:00Z,,,,,,,,,
SDGE,SGX250,1059.7,America/Los_Angeles,SC08,SDGE,1065,RINSD,,SOCC,San Diego Gas and Electric,ACTIVE,-116.95642,San Diego,CA,SGX,CA050,28774,139,Rincon,US,False,33.28779,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,,2020-05-05T22:34:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,2,2010-08-10T00:00:00Z,2013-03-14T19:10:00Z,,,,,,,,,
SDGE,SGX258,2844.5,America/Los_Angeles,SC11,SDGE,2843,WARSD,,SOCC,San Diego Gas and Electric,ACTIVE,-116.69729,San Diego,CA,SGX,CA058,28775,139,Warners,US,False,33.24792,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2013-03-14T19:10:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,,2019-09-19T21:53:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,2,2010-08-10T00:00:00Z,2013-03-14T19:10:00Z,,,,,,,,,
SDGE,SGX258,3799.2,America/Los_Angeles,SC11,SDGE,3810,COYSD,,SOCC,San Diego Gas and Electric,ACTIVE,-116.58539,San Diego,CA,SGX,CA058,28776,139,Los Coyotes,US,False,33.25823,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,,2019-10-10T22:23:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,2,2010-08-10T00:00:00Z,2013-03-14T19:10:00Z,,,,,,,,,
SDGE,SGX258,2805.1,America/Los_Angeles,SC11,SDGE,2820,MGYSD,,SOCC,San Diego Gas and Electric,ACTIVE,-116.69967,San Diego,CA,SGX,CA058,28777,139,Mataguay,US,False,33.22330,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,,2020-05-12T22:13:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,2,2010-08-10T00:00:00Z,2013-03-14T19:10:00Z,,,,,,,,,
SDGE,SGX554,354.3,America/Los_Angeles,SC08,SDGE,352,CRISD,,SOCC,San Diego Gas and Electric,ACTIVE,-117.55057,Orange,CA,SGX,CA554,28778,139,Cristianitos,US,False,33.47412,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,2,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-01-02T00:00:00Z,2013-03-03T01:10:00Z,6.1,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,,2020-05-13T23:23:00Z,2022-04-28T21:30:00Z,6.1,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,2,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,2,2010-01-02T00:00:00Z,2013-03-01T22:20:00Z,2,2010-01-02T00:00:00Z,2013-03-14T19:10:00Z,,,,,,,,,
SDGE,SGX250,767.7,America/Los_Angeles,SC08,SDGE,767,TWOSD,,SOCC,San Diego Gas and Electric,ACTIVE,-117.15301,San Diego,CA,SGX,CA050,28779,139,Twins Oaks,US,False,33.19377,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2019-09-18T20:00:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,,2019-09-25T16:23:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,2,2010-08-10T00:00:00Z,2013-03-14T19:10:00Z,,,,,,,,,
SDGE,SGX250,1236.9,America/Los_Angeles,SC08,SDGE,1233,TLKSD,,SOCC,San Diego Gas and Electric,ACTIVE,-117.07575,San Diego,CA,SGX,CA050,28780,139,Turner Lake,US,False,33.22613,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,2,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-01-02T00:00:00Z,2013-03-12T22:10:00Z,6.1,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,,2020-05-05T00:23:00Z,2022-04-28T21:30:00Z,6.1,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,2,2010-01-02T00:00:00Z,2022-04-28T21:30:00Z,2,2010-01-02T00:00:00Z,2013-03-01T22:20:00Z,2,2010-01-02T00:00:00Z,2013-03-14T19:10:00Z,,,,,,,,,
SDGE,SGX250,669.3,America/Los_Angeles,SC08,SDGE,654,CIRSD,,SOCC,San Diego Gas and Electric,ACTIVE,-117.14574,San Diego,CA,SGX,CA050,28781,139,Circle R,US,False,33.28556,2010-01-03T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-01-03T00:00:00Z,2022-04-28T21:30:00Z,2,2010-01-03T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-01-03T00:00:00Z,2020-05-13T14:20:00Z,6.1,2010-01-03T00:00:00Z,2022-04-28T21:30:00Z,,2020-05-13T22:23:00Z,2022-04-28T21:30:00Z,6.1,2010-01-03T00:00:00Z,2022-04-28T21:30:00Z,2,2010-01-03T00:00:00Z,2022-04-28T21:30:00Z,2,2010-01-03T00:00:00Z,2013-03-01T22:20:00Z,2,2010-01-03T00:00:00Z,2013-03-14T19:10:00Z,,,,,,,,,
SDGE,SGX250,1364.8,America/Los_Angeles,SC08,SDGE,1361,HMDSD,,SOCC,San Diego Gas and Electric,ACTIVE,-117.09415,San Diego,CA,SGX,CA050,28782,139,Hidden Meadows,US,False,33.22651,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,,2019-10-09T00:23:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,2,2010-08-10T00:00:00Z,2013-03-14T19:10:00Z,,,,,,,,,
SDGE,SGX250,397,America/Los_Angeles,SC08,SDGE,411,PAUSD,,SOCC,San Diego Gas and Electric,ACTIVE,-117.07894,San Diego,CA,SGX,CA050,28783,139,Pauma Valley,US,False,33.37111,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2020-05-13T19:50:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,,2020-05-13T22:53:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,2,2010-08-10T00:00:00Z,2013-03-14T19:10:00Z,,,,,,,,,
SDGE,SGX250,1804.5,America/Los_Angeles,SC08,SDGE,1849,CESSD,,SOCC,San Diego Gas and Electric,ACTIVE,-116.79285,San Diego,CA,SGX,CA050,28784,139,Country Estates,US,False,33.02870,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2020-05-04T15:00:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,,2020-05-04T18:35:00Z,2022-04-28T21:30:00Z,6.1,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2022-04-28T21:30:00Z,2,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,2,2010-08-10T00:00:00Z,2013-03-14T19:10:00Z,,,,,,,,,
